eventID,orig_last_modified,time_value,time_value_ms,quality_standardError,latitude_value,longitude_value,depth_value, absolute_depth_value, magnitude_value_P,quality_XellipseError,quality_YellipseError,theta_ellipseError,station_coda,coda_value, quality_associatedPhaseCount,quality_associated_SPhaseCount,  quality_azimuthalGap,quality_MinEpicDist,quality_MinHipoDist, creationInfo_agencyID
2010031122.13P,2010-03-12T11:58:08,2010-03-11 10:12:58,   810,0.649,  -1.0324, -78.6247,  13.98, -10.68,   3.80,   0.69,   2.97,    1.04,   vc1,   150,    40,    6, 175.35,  26.74,  30.17,    EPN
2010031202.29P,2010-03-12T12:11:10,2010-03-12 02:29:07,   380,0.495,  -1.8049, -77.6953,  17.30, -14.00,   4.10,   0.96,   1.28,   15.88,   vc1,   190,    54,   18, 225.99,  74.56,  76.54,    EPN
2010031205.31P,2010-03-12T12:13:51,2010-03-12 05:31:25,   320,0.570,  -1.0464, -79.3930, 119.18,-115.88,   3.70,   1.83,   4.60,  177.72,   vc1,   100,    26,    5, 206.33,  83.00, 145.23,    EPN
2010031206.49P,2010-03-12T12:17:28,2010-03-12 06:49:00,    10,0.345,   0.1308, -77.8233,   9.04,  -5.74,   3.50,   0.70,   0.91,  136.48,   vc1,    80,    25,    6, 176.72,  19.68,  21.66,    EPN
2010031209.20P,2010-03-12T12:21:48,2010-03-12 09:20:54,   360,0.674,  -1.0670, -78.2686,  12.83,  -9.53,   3.80,   0.75,   3.42,    3.87,   vc1,   150,    33,    6, 186.98,  13.02,  18.28,    EPN
2010031214.31P,2010-03-12T12:31:00,2010-03-12 02:31:15,   930,0.575,  -2.3273, -78.9733,   7.65,  -4.35,   4.00,   1.60,   2.38,  178.98,   vc1,   140,    32,   11, 284.91,  75.40,  75.78,    EPN
2010031215.18P,2010-03-12T12:38:31,2010-03-12 03:18:17,   890,0.810,   0.0900, -80.9630,  16.69, -13.39,   4.20,   2.44,   4.25,   45.65,   vc1,   180,    34,    7, 261.62,  92.74,  94.23,    EPN
2010031422.12P,2010-03-15T18:15:47,2010-03-14 10:12:33,   560,0.398,  -1.9396, -77.8418, 161.36,-158.06,   4.10,   2.78,   8.18,  174.80,   vc1,   180,    28,    5, 232.76,  52.45, 169.67,    EPN
2010031423.16P,2010-03-15T18:18:34,2010-03-14 11:16:13,   140,0.398,  -1.1170, -79.2880, 107.02,-103.72,   3.60,   3.95,  12.02,  166.61,   vc1,   100,    10,    2, 330.68, 101.81, 147.71,    EPN
2010031512.09P,2010-03-15T19:26:59,2010-03-15 12:09:08,   680,0.792,   2.3313, -79.8299,   8.40,  -5.10,   4.00,   5.16,  38.18,  153.04,   vc1,   110,     8,    1, 353.18, 308.13, 308.24,    EPN
2010031512.23P,2010-03-15T19:38:34,2010-03-15 12:22:51,   930,0.667,  -0.5744, -80.3273,  65.48, -62.18,   3.90,   2.09,   2.47,   76.29,   vc1,   130,    35,    8, 153.87,  23.35,  69.52,    EPN
2010031603.01P,2010-03-17T14:15:08,2010-03-16 03:01:26,    60,0.349,  -1.7794, -77.2752,  14.43, -11.13,   3.60,   2.06,   6.16,  104.56,   vc1,    80,    16,    4, 326.74, 131.53, 132.32,    EPN
2010031622.22P,2010-03-17T14:24:57,2010-03-16 10:21:43,   550,0.351,  -1.7575, -78.0744, 175.78,-172.48,   3.90,   2.13,   4.97,    0.48,   vc1,   150,    34,    6, 178.90,  48.96, 182.47,    EPN
